Index,Date_Time,Date_Time_Unix,ModManState,ModManThermalState
10837119,45621.30156,1732518855,2,
10837121,45621.30156,1732518855,,1
10837123,45621.30156,1732518855,2,
10837125,45621.30156,1732518855,,1
10837127,45621.30156,1732518855,2,
10837129,45621.30156,1732518855,,1
10838243,45621.30204,1732518896,1,
10838245,45621.30204,1732518896,,1
10862581,45621.32844,1732521178,2,
10862583,45621.32844,1732521178,2,
10862585,45621.32844,1732521178,,1
10862587,45621.32844,1732521178,,1
10863911,45621.32847,1732521180,2,
10863913,45621.32847,1732521180,,1
10863915,45621.32847,1732521180,2,
10863917,45621.32847,1732521180,,1
10863919,45621.32847,1732521180,2,
10863921,45621.32847,1732521180,,1
10864911,45621.32895,1732521221,1,
10864913,45621.32895,1732521221,,1
11113839,45621.54759,1732540112,2,
11113841,45621.54759,1732540112,2,
11113843,45621.54759,1732540112,,1
11113845,45621.54759,1732540112,,1
11115202,45621.54761,1732540114,2,
11115204,45621.54761,1732540114,,1
11115222,45621.54761,1732540114,2,
11115224,45621.54761,1732540114,,1
11115226,45621.54761,1732540114,2,
11115228,45621.54761,1732540114,,1
11117011,45621.54808,1732540154,1,
11117013,45621.54808,1732540154,,1
11169855,45621.5695,1732542005,2,
11169857,45621.5695,1732542005,2,
11169859,45621.5695,1732542005,,1
11169861,45621.5695,1732542005,,1
11171178,45621.56952,1732542006,2,
11171180,45621.56952,1732542006,,1
11171182,45621.56952,1732542006,2,
11171184,45621.56952,1732542006,,1
11171192,45621.56952,1732542006,2,
11171194,45621.56952,1732542006,,1
11173119,45621.56999,1732542047,1,
11173121,45621.56999,1732542047,,1
12766019,45621.93253,1732573371,2,
12766021,45621.93253,1732573371,2,
12766023,45621.93253,1732573371,,1
12766025,45621.93253,1732573371,,1
12767370,45621.93255,1732573373,2,
12767372,45621.93255,1732573373,,1
12767374,45621.93255,1732573373,2,
12767376,45621.93255,1732573373,,1
12767416,45621.93256,1732573373,2,
12767418,45621.93256,1732573373,,1
12771492,45621.93302,1732573413,1,
12771494,45621.93302,1732573413,,1
